#{"t_start": 1524966526.535102, "env_id": "BerkeleyPacmanPO-v0"}
r,l,t
-400.0,100,17.382076
-570.0,100,31.645984
-510.0,100,44.575229
-190.0,100,59.870192
-490.0,100,72.470164
-860.0,100,84.833173
-420.0,100,97.147155
-430.0,100,115.556635
-400.0,100,134.464957
-590.0,100,149.247957
342.0,28,153.019678
