#{"t_start": 1524966779.048265, "env_id": "BerkeleyPacmanPO-v0"}
r,l,t
-570.0,100,108.143893
-330.0,100,215.040408
-590.0,100,333.531474
-20.0,100,462.86281
-530.0,100,572.802409
-20.0,100,688.510666
0.0,100,805.61283
-80.0,100,915.197874
-330.0,100,1023.661057
-470.0,100,1141.395026
-760.0,100,1245.1814
-490.0,100,1350.419949
-40.0,100,1468.194671
8.133755

